Date,Mean_PreviousMonth,Mean_NextMonth,Median_Difference,Median_NextMonth,Mean_Difference
2021-09-24,-341136.0192428571,-360173.15638,,-278426.1889,-19037.137137142883
2021-12-31,24670.611054833338,-282890.6930833333,,-304133.5931,-307561.30413816666
2022-10-31,885073.4335461429,331902.22470375,,234194.69895,-553171.2088423929
2022-11-11,427660.5429914286,167398.326932625,,25861.805005000002,-260262.21605880358
2023-03-11,51931.945592,187712.788332375,,123649.53798,135780.842740375
2023-04-19,73203.38165428572,15271.336691375001,,9996.0885595,-57932.044962910724
2023-06-01,44649.62706857143,-255828.02131875,,-317063.76515,-300477.64838732145
2023-06-05,-154764.53481428573,-91176.40572874999,,-4611.784425,63588.12908553574
