Date,Mean_PreviousMonth,Mean_NextMonth,Mean_Difference
2021-09-24,818731.1849857144,454113.96266250004,-364617.22232321434
2021-12-31,170823.06028999996,95886.83002,-74936.23026999997
2022-10-31,906126.7487957142,369343.87173875,-536782.8770569642
2022-11-11,464668.95032857143,180138.518991375,-284530.43133719644
2023-03-11,140086.3588271429,373949.3815875,233863.0227603571
2023-04-19,290854.55835714284,271417.213875,-19437.344482142827
2023-06-01,765225.9093714285,621640.691475,-143585.21789642854
2023-06-05,436565.8280714285,600073.5081875001,163507.68011607154
