Date,Mean_PreviousMonth,Mean_NextMonth,Mean_Difference
2021-09-24,1159867.204157143,814287.1190375001,-345580.0851196428
2021-12-31,146152.44921833332,378777.5231366667,232625.07391833336
2022-10-31,21053.315243857145,37441.6470225,16388.331778642856
2022-11-11,37008.40732857143,12740.192081624999,-24268.215246946434
2023-03-11,88154.41324,186236.59325375,98082.18001375001
2023-04-19,217651.17671428574,256145.87720000002,38494.700485714275
2023-06-01,720576.2823142858,877468.71285,156892.43053571426
2023-06-05,591330.3629571429,691249.913925,99919.55096785713
